"TAXONIDCH","ACCEPTEDNAME","USAGEKEY","ACCEPTEDUSAGEKEY","SCIENTIFICNAME","RANK","SOURCE"
"","Lactuca saligna L.","3140467","","","","INFOFLORA"
"","Lactuca sativa L.","7403263","","","","INFOFLORA"
"","Lactuca serriola L.","3140490","","","","INFOFLORA"
"","Lactuca viminea (L.) J.Presl & C.Presl","8625614","","","","INFOFLORA"
"","Lactuca virosa L.","3140346","","","","INFOFLORA"
"","Lagarosiphon major (Ridl.) Moss","2865565","","","","INFOFLORA"
"","Lagurus ovatus L.","5290177","","","","INFOFLORA"
"","Lamium album L.","2926683","","","","INFOFLORA"
"","Lamium amplexicaule L.","2926679","","","","INFOFLORA"
"","Lamium galeobdolon (L.) L.","2927324","","","","INFOFLORA"
"","Lamium galeobdolon subsp. montanum (Pers.) Hayek","7413964","","","","INFOFLORA"
"","Lamium hybridum Vill.","8941778","","","","INFOFLORA"
"","Lamium maculatum (L.) L.","2926684","","","","INFOFLORA"
"","Lamium orvala L.","3892732","","","","INFOFLORA"
"","Lamium purpureum L.","2926682","","","","INFOFLORA"
"","Lappula deflexa (Wahlenb.) Garcke","9110896","","","","INFOFLORA"
"","Lappula squarrosa (Retz.) Dumort.","2925756","","","","INFOFLORA"
"","Lapsana communis L.","3134857","","","","INFOFLORA"
"","Larix decidua Mill.","2686212","","","","INFOFLORA"
"","Laserpitium gallicum L.","6026416","","","","INFOFLORA"
"","Laserpitium gaudinii Moretti","3630226","","","","INFOFLORA"
"","Laserpitium halleri Crantz","3630142","","","","INFOFLORA"
"","Laserpitium latifolium L.","6026401","","","","INFOFLORA"
"","Laserpitium nitidum Zanted.","3629766","","","","INFOFLORA"
"","Laserpitium peucedanoides L.","8030160","","","","INFOFLORA"
"","Laserpitium prutenicum L.","8090083","","","","INFOFLORA"
"","Laserpitium siler L.","6026357","","","","INFOFLORA"
"","Lathraea clandestina L.","3738544","","","","INFOFLORA"
"","Lathraea squamaria L.","3738478","","","","INFOFLORA"
"","Lathyrus angulatus L.","5356429","","","","INFOFLORA"
"","Lathyrus aphaca L.","5356649","","","","INFOFLORA"
"","Lathyrus bauhini P.A.Genty","5356666","","","","INFOFLORA"
"","Lathyrus cicera L.","5356481","","","","INFOFLORA"
"","Lathyrus heterophyllus L.","5356541","","","","INFOFLORA"
"","Lathyrus hirsutus L.","5356382","","","","INFOFLORA"
"","Lathyrus latifolius L.","5356517","","","","INFOFLORA"
"","Lathyrus niger (L.) Bernh.","5356662","","","","INFOFLORA"
"","Lathyrus nissolia L.","5356542","","","","INFOFLORA"
"","Lathyrus occidentalis (Fisch. & C.A.Mey.) Fritsch","7560882","","","","INFOFLORA"
"","Lathyrus oleraceus Lam.","5347846","","","","INFOFLORA"
"","Lathyrus palustris L.","5356412","","","","INFOFLORA"
"","Lathyrus pratensis L.","5356701","","","","INFOFLORA"
"","Lathyrus sativus L.","5356488","","","","INFOFLORA"
"","Lathyrus setifolius L.","5356363","","","","INFOFLORA"
"","Lathyrus sphaericus Retz.","5356680","","","","INFOFLORA"
"","Lathyrus sylvestris L.","5356623","","","","INFOFLORA"
"","Lathyrus tuberosus L.","5356522","","","","INFOFLORA"
"","Lathyrus venetus (Mill.) Wohlf.","5356380","","","","INFOFLORA"
"","Lathyrus vernus (L.) Bernh.","5356704","","","","INFOFLORA"
"","Lathyrus vernus subsp. gracilis (Gaudin) Arcang.","7906840","","","","INFOFLORA"
"","Laurus nobilis L.","3034015","","","","INFOFLORA"
"","Lavandula angustifolia Mill.","2927305","","","","INFOFLORA"
"","Leersia oryzoides (L.) Sw.","2702905","","","","INFOFLORA"
"","Legousia hybrida (L.) Delarbre","3158788","","","","INFOFLORA"
"","Legousia speculum-veneris (L.) Chaix","8022456","","","","INFOFLORA"
"","Lemna gibba L.","2867569","","","","INFOFLORA"
"","Lemna minor L.","2867589","","","","INFOFLORA"
"","Lemna minuta Kunth","2867614","","","","INFOFLORA"
"","Lemna trisulca L.","2867579","","","","INFOFLORA"
"","Lemna turionifera Landolt","2867631","","","","INFOFLORA"
"","Lens culinaris Medik.","5350010","","","","INFOFLORA"
"","Leontodon autumnalis L.","3137459","","","","INFOFLORA"
"","Leontodon crispus Vill.","3137536","","","","INFOFLORA"
"","Leontodon hispidus L.","3137498","","","","INFOFLORA"
"","Leontodon hispidus subsp. danubialis (Jacq.) Simonk.","4274094","","","","INFOFLORA"
"","Leontodon hyoseroides Welw. ex Rchb.","3137478","","","","INFOFLORA"
"","Leontodon incanus (L.) Schrank","3137493","","","","INFOFLORA"
"","Leontodon montanus Lam.","7896008","","","","INFOFLORA"
"","Leontodon saxatilis Lam.","3137517","","","","INFOFLORA"
"","Leontodon tenuiflorus (Gaudin) Rchb.","3137486","","","","INFOFLORA"
"","Leontopodium alpinum Cass.","6065156","","","","INFOFLORA"
"","Leonurus cardiaca L.","5341389","","","","INFOFLORA"
"","Lepidium campestre (L.) R.Br.","5376740","","","","INFOFLORA"
"","Lepidium densiflorum Schrad.","5377064","","","","INFOFLORA"
"","Lepidium graminifolium L.","5376994","","","","INFOFLORA"
"","Lepidium latifolium L.","5376692","","","","INFOFLORA"
"","Lepidium neglectum Thell.","5377072","","","","INFOFLORA"
"","Lepidium perfoliatum L.","5376816","","","","INFOFLORA"
"","Lepidium ruderale L.","5376616","","","","INFOFLORA"
"","Lepidium sativum L.","5376565","","","","INFOFLORA"
"","Lepidium virginicum L.","5376648","","","","INFOFLORA"
"","Leucanthemella serotina (L.) Tzvelev","3088405","","","","INFOFLORA"
"","Leucanthemopsis alpina (L.) Heywood","3122039","","","","INFOFLORA"
"","Leucanthemopsis alpina subsp. minima (Vill.) Holub","6297617","","","","INFOFLORA"
"","Leucanthemum adustum (W.D.J.Koch) Gremli","5400974","","","","INFOFLORA"
"","Leucanthemum coronopifolium Vill.","5400968","","","","INFOFLORA"
"","Leucanthemum gaudinii Dalla Torre","5400952","","","","INFOFLORA"
"","Leucanthemum halleri (Vitman) Ducommun","5400975","","","","INFOFLORA"
"","Leucanthemum heterophyllum (Willd.) DC.","5400994","","","","INFOFLORA"
"","Leucanthemum vulgare Lam.","8848598","","","","INFOFLORA"
"","Leucojum aestivum L.","2860425","","","","INFOFLORA"
"","Leucojum vernum L.","2860409","","","","INFOFLORA"
"","Leuzea rhapontica (L.) Holub","6064904","","","","INFOFLORA"
"","Levisticum officinale W.D.J.Koch","5371772","","","","INFOFLORA"
"","Ligusticum ferulaceum All.","8334084","","","","INFOFLORA"
"","Ligusticum lucidum Mill.","6027074","","","","INFOFLORA"
"","Ligusticum mutellina (L.) Crantz","3638167","","","","INFOFLORA"
"","Ligustrum lucidum W.T.Aiton","3172297","","","","INFOFLORA"
"","Ligustrum ovalifolium hort. ex Decne.","8232708","","","","INFOFLORA"
"","Ligustrum vulgare L.","3172300","","","","INFOFLORA"
"","Lilium bulbiferum L.","2753079","","","","INFOFLORA"
"","Lilium bulbiferum subsp. croceum (Chaix) Baker","9494746","","","","INFOFLORA"
"","Lilium martagon L.","2753146","","","","INFOFLORA"
"","Limodorum abortivum (L.) Sw.","5312179","","","","INFOFLORA"
"","Limosella aquatica L.","3172211","","","","INFOFLORA"
"","Linaria alpina (L.) Mill.","5560037","","","","INFOFLORA"
"","Linaria alpina subsp. petraea (Jord.) Rouy","8311214","","","","INFOFLORA"
"","Linaria arvensis (L.) Desf.","5562956","","","","INFOFLORA"
"","Linaria genistifolia (L.) Mill.","5415013","","","","INFOFLORA"
"","Linaria genistifolia subsp. dalmatica (L.) Maire & Petitm.","5562593","","","","INFOFLORA"
"","Linaria maroccana Hook.fil.","5415016","","","","INFOFLORA"
"","Linaria purpurea (L.) Mill.","5415012","","","","INFOFLORA"
"","Linaria repens (L.) Mill.","5415019","","","","INFOFLORA"
"","Linaria simplex (Willd.) DC.","8287616","","","","INFOFLORA"
"","Linaria supina (L.) Chaz.","5415009","","","","INFOFLORA"
"","Linaria tonzigii Lona","7790128","","","","INFOFLORA"
"","Linaria vulgaris Mill.","5415020","","","","INFOFLORA"
"","Lindernia dubia (L.) Pennell","3171888","","","","INFOFLORA"
"","Linnaea borealis L.","5334220","","","","INFOFLORA"
"","Linum alpinum Jacq.","8152305","","","","INFOFLORA"
"","Linum austriacum L.","2873877","","","","INFOFLORA"
"","Linum bienne Mill.","2873896","","","","INFOFLORA"
"","Linum catharticum L.","2873865","","","","INFOFLORA"
"","Linum narbonense L.","4048802","","","","INFOFLORA"
"","Linum tenuifolium L.","8069406","","","","INFOFLORA"
"","Linum trigynum L.","2873874","","","","INFOFLORA"
"","Linum usitatissimum L.","2873861","","","","INFOFLORA"
"","Liparis loeselii (L.) Rich.","5323092","","","","INFOFLORA"
"","Liquidambar styraciflua L.","3152824","","","","INFOFLORA"
"","Liriodendron tulipifera L.","3152861","","","","INFOFLORA"
"","Lithospermum officinale L.","2926086","","","","INFOFLORA"
"","Littorella uniflora (L.) Asch.","5421111","","","","INFOFLORA"
"","Lloydia serotina (L.) Rchb.","5299763","","","","INFOFLORA"
"","Lobelia erinus L.","5408087","","","","INFOFLORA"
"","Lobularia maritima (L.) Desv.","5373358","","","","INFOFLORA"
"","Loiseleuria procumbens (L.) Desv.","2883015","","","","INFOFLORA"
"","Lolium arundinaceum (Schreb.) Darbysh.","2706231","","","","INFOFLORA"
"","Lolium ×hybridum Hausskn.","4132954","","","","INFOFLORA"
"","Lolium multiflorum Lam.","4129708","","","","INFOFLORA"
"","Lolium perenne L.","2706241","","","","INFOFLORA"
"","Lolium pratense (Huds.) Darbysh.","2706237","","","","INFOFLORA"
"","Lolium remotum Schrank","2706236","","","","INFOFLORA"
"","Lolium rigidum Gaudin","2706218","","","","INFOFLORA"
"","Lolium temulentum L.","2706242","","","","INFOFLORA"
"","Lomatogonium carinthiacum (Wulfen) Rchb.","7408221","","","","INFOFLORA"
"","Lomelosia graminifolia (L.) Greuter & Burdet","7301028","","","","INFOFLORA"
"","Lonicera alpigena L.","6369729","","","","INFOFLORA"
"","Lonicera caerulea L.","5334269","","","","INFOFLORA"
"","Lonicera caprifolium L.","5334227","","","","INFOFLORA"
"","Lonicera etrusca Santi","5334247","","","","INFOFLORA"
"","Lonicera henryi Hemsl.","5599230","","","","INFOFLORA"
"","Lonicera japonica Thunb.","5334240","","","","INFOFLORA"
"","Lonicera nigra L.","7768870","","","","INFOFLORA"
"","Lonicera periclymenum L.","5334277","","","","INFOFLORA"
"","Lonicera pileata Oliv.","5598915","","","","INFOFLORA"
"","Lonicera tatarica L.","5334242","","","","INFOFLORA"
"","Lonicera xylosteum L.","5334259","","","","INFOFLORA"
"","Lophiolepis eriophora (L.) Del Guacchio, Bures, Iamonico & P.Caputo","12171609","","","","INFOFLORA"
"","Lotus alpinus (Ser.) Schleich. ex Ramond","5356917","","","","INFOFLORA"
"","Lotus corniculatus L.","5357013","","","","INFOFLORA"
"","Lotus maritimus L.","5356973","","","","INFOFLORA"
"","Lotus pedunculatus Cav.","5356854","","","","INFOFLORA"
"","Lotus tenuis Waldst. & Kit.","5356977","","","","INFOFLORA"
"","Ludwigia grandiflora (Michx.) Greuter & Burdet","5421039","","","","INFOFLORA"
"","Ludwigia palustris (L.) Elliott","5421025","","","","INFOFLORA"
"","Lunaria annua L.","5373324","","","","INFOFLORA"
"","Lunaria rediviva L.","5373322","","","","INFOFLORA"
"","Lupinus albus L.","2964167","","","","INFOFLORA"
"","Lupinus angustifolius L.","2964025","","","","INFOFLORA"
"","Lupinus polyphyllus Lindl.","2964355","","","","INFOFLORA"
"","Luzula alpina Hoppe","2700977","","","","INFOFLORA"
"","Luzula alpinopilosa (Chaix) Breistr.","2700948","","","","INFOFLORA"
"","Luzula campestris (L.) DC.","2700828","","","","INFOFLORA"
"","Luzula desvauxii Kunth","2701032","","","","INFOFLORA"
"","Luzula forsteri (Sm.) DC.","2700706","","","","INFOFLORA"
"","Luzula lutea (All.) DC.","2700839","","","","INFOFLORA"
"","Luzula luzulina (Vill.) Dalla Torre & Sarnth.","7893447","","","","INFOFLORA"
"","Luzula luzuloides (Lam.) Dandy & Wilmott","2700874","","","","INFOFLORA"
"","Luzula multiflora (Ehrh.) Lej.","2700934","","","","INFOFLORA"
"","Luzula nivea (Nathh.) DC.","2700768","","","","INFOFLORA"
"","Luzula pediformis (Chaix) DC.","2700701","","","","INFOFLORA"
"","Luzula pilosa (L.) Willd.","2700736","","","","INFOFLORA"
"","Luzula sieberi Tausch","4203830","","","","INFOFLORA"
"","Luzula spicata (L.) DC.","2700795","","","","INFOFLORA"
"","Luzula spicata subsp. mutabilis Chrtek & Krísa","8108445","","","","INFOFLORA"
"","Luzula sudetica (Willd.) Schult.","2700802","","","","INFOFLORA"
"","Luzula sylvatica (Huds.) Gaudin","2700859","","","","INFOFLORA"
"","Lycium barbarum L.","2928835","","","","INFOFLORA"
"","Lycium chinense Mill.","2928809","","","","INFOFLORA"
"","Lycopersicon esculentum Mill.","2930181","","","","INFOFLORA"
"","Lycopodiella inundata (L.) Holub","2688345","","","","INFOFLORA"
"","Lycopodium annotinum L.","2688369","","","","INFOFLORA"
"","Lycopodium clavatum L.","2688393","","","","INFOFLORA"
"","Lycopodium clavatum subsp. monostachyon Grev. & Hook.","10476580","","","","INFOFLORA"
"","Lycopsis arvensis L.","5341197","","","","INFOFLORA"
"","Lycopus europaeus L.","5341478","","","","INFOFLORA"
"","Lycopus exaltatus L.f.","5605751","","","","INFOFLORA"
"","Lysimachia minima (L.) U.Manns & Anderb.","7939955","","","","INFOFLORA"
"","Lysimachia nemorum L.","7702019","","","","INFOFLORA"
"","Lysimachia nummularia L.","3169379","","","","INFOFLORA"
"","Lysimachia punctata L.","3169340","","","","INFOFLORA"
"","Lysimachia thyrsiflora L.","3169358","","","","INFOFLORA"
"","Lysimachia vulgaris L.","3169386","","","","INFOFLORA"
"","Lythrum hyssopifolia L.","3188747","","","","INFOFLORA"
"","Lythrum portula (L.) D.A.Webb","3188743","","","","INFOFLORA"
"","Lythrum salicaria L.","3188736","","","","INFOFLORA"
"","Macleaya cordata (Willd.) R.Br.","5334194","","","","INFOFLORA"
"","Macleaya microcarpa (Maxim.) Fedde","5530747","","","","INFOFLORA"
"","Magnolia grandiflora L.","9605163","","","","INFOFLORA"
"","Mahonia aquifolium (Pursh) Nutt.","3033865","","","","INFOFLORA"
"","Maianthemum bifolium (L.) F.W.Schmidt","2769317","","","","INFOFLORA"
"","Malaxis monophyllos (L.) Sw.","2808211","","","","INFOFLORA"
"","Malcolmia maritima (L.) R.Br.","7372514","","","","INFOFLORA"
"","Malus pumila Mill.","3001093","","","","INFOFLORA"
"","Malva alcea L.","3152365","","","","INFOFLORA"
"","Malva moschata L.","3152379","","","","INFOFLORA"
"","Malva neglecta Wallr.","3152373","","","","INFOFLORA"
"","Malva nicaeensis All.","3152367","","","","INFOFLORA"
"","Malva parviflora L.","3152378","","","","INFOFLORA"
"","Malva pusilla Sm.","3152372","","","","INFOFLORA"
"","Malva sylvestris L.","3152374","","","","INFOFLORA"
"","Malva verticillata L.","3152377","","","","INFOFLORA"
"","Marrubium vulgare L.","2927069","","","","INFOFLORA"
"","Marsilea quadrifolia L.","5274875","","","","INFOFLORA"
"","Matricaria chamomilla L.","8370958","","","","INFOFLORA"
"","Matricaria discoidea DC.","3103791","","","","INFOFLORA"
"","Matteuccia struthiopteris (L.) Tod.","2650999","","","","INFOFLORA"
"","Matthiola fruticulosa (L.) Maire","5377429","","","","INFOFLORA"
"","Meconopsis cambrica (L.) Vig.","3601091","","","","INFOFLORA"
"","Medicago arabica (L.) Huds.","2965527","","","","INFOFLORA"
"","Medicago carstiensis Wulfen","2965232","","","","INFOFLORA"
"","Medicago falcata L.","2965354","","","","INFOFLORA"
"","Medicago lupulina L.","2965201","","","","INFOFLORA"
"","Medicago minima (L.) L.","2965572","","","","INFOFLORA"
"","Medicago orbicularis (L.) Bartal.","2965299","","","","INFOFLORA"
"","Medicago polymorpha L.","2965531","","","","INFOFLORA"
"","Medicago rigidula (L.) All.","2965438","","","","INFOFLORA"
"","Medicago sativa L.","9151957","","","","INFOFLORA"
"","Medicago ×varia Martyn","2965331","","","","INFOFLORA"
"","Melampyrum arvense L.","7331741","","","","INFOFLORA"
"","Melampyrum cristatum L.","3725765","","","","INFOFLORA"
"","Melampyrum nemorosum L.","7331666","","","","INFOFLORA"
"","Melampyrum pratense L.","7693914","","","","INFOFLORA"
"","Melampyrum sylvaticum L.","7331633","","","","INFOFLORA"
"","Melica ciliata L.","2703124","","","","INFOFLORA"
"","Melica nutans L.","4118973","","","","INFOFLORA"
"","Melica transsilvanica Schur","4125291","","","","INFOFLORA"
"","Melica uniflora Retz.","4116392","","","","INFOFLORA"
"","Melilotus albus Medik.","2971095","","","","INFOFLORA"
"","Melilotus altissimus Thuill.","2971042","","","","INFOFLORA"
"","Melilotus indicus (L.) All.","2971016","","","","INFOFLORA"
"","Melilotus neapolitanus Ten.","2971074","","","","INFOFLORA"
"","Melilotus officinalis (L.) Lam.","8193111","","","","INFOFLORA"
"","Melilotus sulcatus Desf.","2971112","","","","INFOFLORA"
"","Melissa officinalis L.","5341501","","","","INFOFLORA"
"","Melittis melissophyllum L.","8105693","","","","INFOFLORA"
"","Mentha aquatica L.","2927208","","","","INFOFLORA"
"","Mentha arvensis L.","2927192","","","","INFOFLORA"
"","Mentha longifolia (L.) Huds.","2927177","","","","INFOFLORA"
"","Mentha ×piperita L.","8707933","","","","INFOFLORA"
"","Mentha pulegium L.","2927189","","","","INFOFLORA"
"","Mentha spicata L.","2927175","","","","INFOFLORA"
"","Mentha suaveolens Ehrh.","2927190","","","","INFOFLORA"
"","Mentha ×verticillata L.","8172952","","","","INFOFLORA"
"","Mentha ×villosa Huds.","8004895","","","","INFOFLORA"
"","Menyanthes trifoliata L.","5341511","","","","INFOFLORA"
"","Mercurialis annua L.","3062975","","","","INFOFLORA"
"","Mercurialis ovata Sternb. & Hoppe","3063010","","","","INFOFLORA"
"","Mercurialis perennis L.","3063016","","","","INFOFLORA"
"","Mespilus germanica L.","3031774","","","","INFOFLORA"
"","Meum athamanticum Jacq.","6026490","","","","INFOFLORA"
"","Mibora minima (L.) Desv.","2705682","","","","INFOFLORA"
"","Micropus erectus L.","3088397","","","","INFOFLORA"
"","Micropyrum tenellum (L.) Link","4118792","","","","INFOFLORA"
"","Milium effusum L.","2706196","","","","INFOFLORA"
"","Milium effusum subsp. alpicola Chrtek","4147298","","","","INFOFLORA"
"","Mimulus guttatus DC.","7333256","","","","INFOFLORA"
"","Mimulus luteus L.","6070840","","","","INFOFLORA"
"","Minuartia austriaca (Jacq.) Hayek","3813725","","","","INFOFLORA"
"","Minuartia biflora (L.) Schinz & Thell.","3085555","","","","INFOFLORA"
"","Minuartia capillacea (All.) Graebn.","3813588","","","","INFOFLORA"
"","Minuartia cherlerioides subsp. rionii (Gremli) Friedrich","8052920","","","","INFOFLORA"
"","Minuartia grignensis (Rchb.) Mattf.","7792343","","","","INFOFLORA"
"","Minuartia hybrida (Vill.) Schischk.","6364297","","","","INFOFLORA"
"","Minuartia laricifolia (L.) Schinz & Thell.","6364275","","","","INFOFLORA"
"","Minuartia recurva (All.) Schinz & Thell.","7267522","","","","INFOFLORA"
"","Minuartia rostrata (Pers.) Rchb.","3811431","","","","INFOFLORA"
"","Minuartia rubra (Scop.) McNeill","7267507","","","","INFOFLORA"
"","Minuartia rupestris (Scop.) Schinz & Thell.","10668517","","","","INFOFLORA"
"","Minuartia sedoides (L.) Hiern","3811266","","","","INFOFLORA"
"","Minuartia stricta (Sw.) Hiern","3085503","","","","INFOFLORA"
"","Minuartia verna (L.) Hiern","3085588","","","","INFOFLORA"
"","Minuartia villarii (Balb.) Wilczek & Chenevard","7491340","","","","INFOFLORA"
"","Minuartia viscosa (Schreb.) Schinz & Thell.","3810783","","","","INFOFLORA"
"","Mirabilis jalapa L.","3086240","","","","INFOFLORA"
"","Miscanthus sacchariflorus (Maxim.) Hack.","2706023","","","","INFOFLORA"
"","Miscanthus sinensis Andersson","2706026","","","","INFOFLORA"
"","Misopates orontium (L.) Raf.","3171145","","","","INFOFLORA"
"","Moehringia bavarica (L.) Gren.","8041740","","","","INFOFLORA"
"","Moehringia ciliata (Scop.) Dalla Torre","3810607","","","","INFOFLORA"
"","Moehringia concarenae F.Fenaroli & F.Martini","3810601","","","","INFOFLORA"
"","Moehringia dielsiana Mattf.","3810575","","","","INFOFLORA"
"","Moehringia insubrica Degen","3810458","","","","INFOFLORA"
"","Moehringia muscosa L.","7267358","","","","INFOFLORA"
"","Moehringia trinervia (L.) Clairv.","3085370","","","","INFOFLORA"
"","Moenchia erecta (L.) G.Gaertn., G.Mey. & Scherb.","7841283","","","","INFOFLORA"
"","Moenchia mantica (L.) Bartl.","8237138","","","","INFOFLORA"
"","Molinia arundinacea Schrank","4121791","","","","INFOFLORA"
"","Molinia caerulea (L.) Moench","5289877","","","","INFOFLORA"
"","Mollugo verticillata L.","3084611","","","","INFOFLORA"
"","Molopospermum peloponnesiacum (L.) W.D.J.Koch","6026454","","","","INFOFLORA"
"","Moneses uniflora (L.) A.Gray","2888298","","","","INFOFLORA"
"","Monotropa hypophegea Wallr.","8237244","","","","INFOFLORA"
"","Monotropa hypopitys L.","8249145","","","","INFOFLORA"
"","Montia fontana L.","9004024","","","","INFOFLORA"
"","Montia fontana subsp. amporitana Sennen","5384288","","","","INFOFLORA"
"","Montia fontana subsp. chondrosperma (Fenzl) Walters","5384292","","","","INFOFLORA"
"","Morus alba L.","5361889","","","","INFOFLORA"
"","Morus nigra L.","5361888","","","","INFOFLORA"
"","Muhlenbergia mexicana (L.) Trin.","2704038","","","","INFOFLORA"
"","Muhlenbergia schreberi J.F.Gmel.","2704002","","","","INFOFLORA"
"","Murbeckiella pinnatifida (Lam.) Rothm.","3048749","","","","INFOFLORA"
"","Muscari armeniacum Leichtlin ex Baker","2772174","","","","INFOFLORA"
"","Muscari botryoides (L.) Mill.","2772094","","","","INFOFLORA"
"","Muscari comosum (L.) Mill.","2769204","","","","INFOFLORA"
"","Muscari neglectum Guss. ex Ten.","2772020","","","","INFOFLORA"
"","Muscarimia muscari (L.) Losinsk.","2772013","","","","INFOFLORA"
"","Myagrum perfoliatum L.","3047811","","","","INFOFLORA"
"","Mycelis muralis (L.) Dumort.","3139040","","","","INFOFLORA"
"","Myosotis alpestris F.W.Schmidt","5341187","","","","INFOFLORA"
"","Myosotis arvensis (L.) Hill","5341170","","","","INFOFLORA"
"","Myosotis cespitosa Schultz","5661439","","","","INFOFLORA"
"","Myosotis decumbens Host","7295092","","","","INFOFLORA"
"","Myosotis discolor Pers.","5341177","","","","INFOFLORA"
"","Myosotis minutiflora Boiss. & Reut.","5660949","","","","INFOFLORA"
"","Myosotis nemorosa Besser","7730039","","","","INFOFLORA"
"","Myosotis ramosissima Rochel","7589756","","","","INFOFLORA"
"","Myosotis rehsteineri Wartm.","7930390","","","","INFOFLORA"
"","Myosotis scorpioides L.","5341184","","","","INFOFLORA"
"","Myosotis stricta Link ex Roem. & Schult.","5341190","","","","INFOFLORA"
"","Myosoton aquaticum (L.) Moench","3085313","","","","INFOFLORA"
"","Myosurus minimus L.","3033605","","","","INFOFLORA"
"","Myricaria germanica (L.) Desv.","3612876","","","","INFOFLORA"
"","Myriophyllum alterniflorum DC.","5361773","","","","INFOFLORA"
"","Myriophyllum aquaticum (Vell.) Verdc.","5361785","","","","INFOFLORA"
"","Myriophyllum heterophyllum Michx.","5361762","","","","INFOFLORA"
"","Myriophyllum spicatum L.","5361760","","","","INFOFLORA"
"","Myriophyllum verticillatum L.","5361779","","","","INFOFLORA"
"","Myrrhis odorata (L.) Scop.","3034681","","","","INFOFLORA"
"","Myrtus communis L.","3180085","","","","INFOFLORA"
"","Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt","5329315","","","","INFOFLORA"
"","Najas marina L.","5329324","","","","INFOFLORA"
"","Najas minor All.","5329434","","","","INFOFLORA"
"","Nandina domestica Thunb.","5371712","","","","INFOFLORA"
"","Narcissus ×incomparabilis Mill.","2859255","","","","INFOFLORA"
"","Narcissus jonquilla L.","2858909","","","","INFOFLORA"
"","Narcissus ×medioluteus Mill.","2858896","","","","INFOFLORA"
"","Narcissus pseudonarcissus L.","2858244","","","","INFOFLORA"
"","Narcissus radiiflorus Salisb.","2858599","","","","INFOFLORA"
"","Nardus stricta L.","2702717","","","","INFOFLORA"
"","Nassella tenuissima (Trin.) Barkworth","5289833","","","","INFOFLORA"
"","Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.","9184619","","","","INFOFLORA"
"","Nasturtium officinale R.Br.","7701037","","","","INFOFLORA"
"","Nelumbo nucifera Gaertn.","2882449","","","","INFOFLORA"
"","Neottia cordata (L.) Rich.","2816213","","","","INFOFLORA"
"","Neottia nidus-avis (L.) Rich.","2816176","","","","INFOFLORA"
"","Neottia ovata (L.) Bluff & Fingerh.","2816250","","","","INFOFLORA"
"","Nepeta cataria L.","5341499","","","","INFOFLORA"
"","Nepeta nepetella L.","7309064","","","","INFOFLORA"
"","Nepeta nuda L.","7309059","","","","INFOFLORA"
"","Nepeta racemosa Lam.","5341497","","","","INFOFLORA"
"","Neslia paniculata (L.) Desv.","9040863","","","","INFOFLORA"
"","Nicandra physalodes (L.) Gaertn.","5341754","","","","INFOFLORA"
"","Nicotiana rustica L.","2928775","","","","INFOFLORA"
"","Nicotiana tabacum L.","2928774","","","","INFOFLORA"
"","Nigella arvensis L.","7278276","","","","INFOFLORA"
"","Nigella damascena L.","5371702","","","","INFOFLORA"
"","Nigritella austriaca (Teppner & E.Klein) P.Delforge","5323941","","","","INFOFLORA"
"","Nigritella rhellicani Teppner & E.Klein","5323920","","","","INFOFLORA"
"","Noccaea caerulescens (J.Presl & C.Presl) F.K.Mey.","3045463","","","","INFOFLORA"
"","Noccaea corymbosa (J.Gay) F.K.Mey.","3045382","","","","INFOFLORA"
"","Noccaea rotundifolia (L.) Moench","3045243","","","","INFOFLORA"
"","Nonea erecta Bernh.","4060663","","","","INFOFLORA"
"","Nonea lutea (Desr.) DC.","2926042","","","","INFOFLORA"
"","Notholaena marantae (L.) Desv.","7173604","","","","INFOFLORA"
"","Nuphar lutea (L.) Sibth. & Sm.","7551339","","","","INFOFLORA"
"","Nuphar pumila (Timm) DC.","6435002","","","","INFOFLORA"
"","Nymphaea alba L.","2882437","","","","INFOFLORA"
"","Nymphaea candida C.Presl","7410966","","","","INFOFLORA"
"","Nymphoides peltata (S.G.Gmel.) Kuntze","8810827","","","","INFOFLORA"
"","Ocimum basilicum L.","2927096","","","","INFOFLORA"
"","Odontites lanceolatus (Gaudin) Rchb.","8358298","","","","INFOFLORA"
"","Odontites luteus (L.) Clairv.","7855120","","","","INFOFLORA"
"","Odontites vernus (Bellardi) Dumort.","8971475","","","","INFOFLORA"
"","Odontites viscosus (L.) Clairv.","8381949","","","","INFOFLORA"
"","Odontites vulgaris Moench","5415024","","","","INFOFLORA"
"","Oenanthe aquatica (L.) Poir.","5371888","","","","INFOFLORA"
"","Oenanthe fistulosa L.","5371890","","","","INFOFLORA"
"","Oenanthe javanica (Blume) DC.","5371886","","","","INFOFLORA"
"","Oenanthe lachenalii C.C.Gmel.","5540332","","","","INFOFLORA"
"","Oenanthe millefolia Janka","5540273","","","","INFOFLORA"
"","Oenanthe peucedanifolia Pollich","5540247","","","","INFOFLORA"
"","Oenothera biennis L.","3188924","","","","INFOFLORA"
"","Oenothera depressa Greene","6428493","","","","INFOFLORA"
"","Oenothera ×fallax Renner","7915783","","","","INFOFLORA"
"","Oenothera glazioviana Micheli","3188894","","","","INFOFLORA"
"","Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch","3664589","","","","INFOFLORA"
